date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:46	86/86	---MCZ	200	added ('OK')	text/plain	date:Sat,%2013%20Jul%202024%2011:40:45%20GMT	https://www.whatsapp.com/robots.txt		(from )
11:40:47	246364/246364	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202024%2011:40:47%20GMT	https://www.whatsapp.com/	/tmp/www.whatsapp.com/202407131140/www.whatsapp.com/index.html	(from )
11:40:55	264762/264762	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202024%2011:40:48%20GMT	https://www.whatsapp.com/privacy	/tmp/www.whatsapp.com/202407131140/www.whatsapp.com/privacy.html	(from https://www.whatsapp.com/)
11:40:55	233453/233453	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202024%2011:40:48%20GMT	https://www.whatsapp.com/?_fb_noscript=1	/tmp/www.whatsapp.com/202407131140/www.whatsapp.com/index4964.html	(from https://www.whatsapp.com/)
11:40:55	236212/236212	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202024%2011:40:49%20GMT	https://www.whatsapp.com/?lang=af_ZA	/tmp/www.whatsapp.com/202407131140/www.whatsapp.com/index68a3.html	(from https://www.whatsapp.com/)
11:40:55	254055/254055	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202024%2011:40:49%20GMT	https://www.whatsapp.com/?lang=ar_AR	/tmp/www.whatsapp.com/202407131140/www.whatsapp.com/index6155.html	(from https://www.whatsapp.com/)
11:40:56	255674/255674	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202024%2011:40:55%20GMT	https://www.whatsapp.com/stayconnected	/tmp/www.whatsapp.com/202407131140/www.whatsapp.com/stayconnected.html	(from https://www.whatsapp.com/)
11:40:56	244127/244127	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202024%2011:40:56%20GMT	https://www.whatsapp.com/?lang=az_AZ	/tmp/www.whatsapp.com/202407131140/www.whatsapp.com/index59bf.html	(from https://www.whatsapp.com/)
11:40:56	251150/251150	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202024%2011:40:56%20GMT	https://www.whatsapp.com/?lang=bg_BG	/tmp/www.whatsapp.com/202407131140/www.whatsapp.com/index99fb.html	(from https://www.whatsapp.com/)
11:40:56	256248/256248	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202024%2011:40:56%20GMT	https://www.whatsapp.com/?lang=bn_IN	/tmp/www.whatsapp.com/202407131140/www.whatsapp.com/indexdcd8.html	(from https://www.whatsapp.com/)
